"region","parameter","value_coefficient_10","value_p_value","error_prediction_coefficient_10","error_prediction_p_value","value_difference_coefficient_10","value_difference_p_value","CountryCode","subregion"
"NORTHERN AMERICA","no2",0.358788171245498,0.242804951377132,NA,NA,-0.391019857308947,0.398618248201232,"us","rhode island"
"NORTHERN AMERICA","no2",0.358788171245498,0.242804951377132,NA,NA,-0.391019857308947,0.398618248201232,"us","south carolina"
"NORTHERN AMERICA","no2",0.358788171245498,0.242804951377132,NA,NA,-0.391019857308947,0.398618248201232,"us","utah"
"NORTHERN AMERICA","no2",0.358788171245498,0.242804951377132,NA,NA,-0.391019857308947,0.398618248201232,"us","vermont"
"NORTHERN AMERICA","no2",0.358788171245498,0.242804951377132,NA,NA,-0.391019857308947,0.398618248201232,"us","virginia"
"NORTHERN AMERICA","no2",0.358788171245498,0.242804951377132,NA,NA,-0.391019857308947,0.398618248201232,"us","washington"
"NORTHERN AMERICA","no2",0.358788171245498,0.242804951377132,NA,NA,-0.391019857308947,0.398618248201232,"us","wisconsin"
"NORTHERN AMERICA","no2",0.358788171245498,0.242804951377132,NA,NA,-0.391019857308947,0.398618248201232,"us","wyoming"
"NORTHERN AMERICA","no2",0.358788171245498,0.242804951377132,NA,NA,-0.391019857308947,0.398618248201232,"ca","new brunswick"
"NORTHERN AMERICA","no2",0.358788171245498,0.242804951377132,NA,NA,-0.391019857308947,0.398618248201232,"ca","prince edward island"
"NORTHERN AMERICA","no2",0.358788171245498,0.242804951377132,NA,NA,-0.391019857308947,0.398618248201232,"us","district of columbia"
"NORTHERN AMERICA","no2",0.358788171245498,0.242804951377132,NA,NA,-0.391019857308947,0.398618248201232,"us","maine"
"NORTHERN AMERICA","no2",0.358788171245498,0.242804951377132,NA,NA,-0.391019857308947,0.398618248201232,"us","north dakota"
"NORTHERN AMERICA","no2",0.358788171245498,0.242804951377132,NA,NA,-0.391019857308947,0.398618248201232,"ca","newfoundland and labrador"
"NORTHERN AMERICA","no2",0.358788171245498,0.242804951377132,NA,NA,-0.391019857308947,0.398618248201232,"ca","northwest territories"
"NORTHERN AMERICA","no2",0.358788171245498,0.242804951377132,NA,NA,-0.391019857308947,0.398618248201232,"ca","nova scotia"
"NORTHERN AMERICA","no2",0.358788171245498,0.242804951377132,NA,NA,-0.391019857308947,0.398618248201232,"ca","ontario"
"NORTHERN AMERICA","no2",0.358788171245498,0.242804951377132,NA,NA,-0.391019857308947,0.398618248201232,"ca","saskatchewan"
"NORTHERN AMERICA","no2",0.358788171245498,0.242804951377132,NA,NA,-0.391019857308947,0.398618248201232,"us","alabama"
"NORTHERN AMERICA","no2",0.358788171245498,0.242804951377132,NA,NA,-0.391019857308947,0.398618248201232,"us","arkansas"
"NORTHERN AMERICA","no2",0.358788171245498,0.242804951377132,NA,NA,-0.391019857308947,0.398618248201232,"us","delaware"
"NORTHERN AMERICA","no2",0.358788171245498,0.242804951377132,NA,NA,-0.391019857308947,0.398618248201232,"us","kansas"
"NORTHERN AMERICA","no2",0.358788171245498,0.242804951377132,NA,NA,-0.391019857308947,0.398618248201232,"us","louisiana"
"NORTHERN AMERICA","no2",0.358788171245498,0.242804951377132,NA,NA,-0.391019857308947,0.398618248201232,"us","montana"
"NORTHERN AMERICA","no2",0.358788171245498,0.242804951377132,NA,NA,-0.391019857308947,0.398618248201232,"us","new york"
"NORTHERN AMERICA","no2",0.358788171245498,0.242804951377132,NA,NA,-0.391019857308947,0.398618248201232,"us","ohio"
"NORTHERN AMERICA","no2",0.358788171245498,0.242804951377132,NA,NA,-0.391019857308947,0.398618248201232,"us","south dakota"
"NORTHERN AMERICA","no2",0.358788171245498,0.242804951377132,NA,NA,-0.391019857308947,0.398618248201232,"us","tennessee"
"NORTHERN AMERICA","no2",0.358788171245498,0.242804951377132,NA,NA,-0.391019857308947,0.398618248201232,"us","texas"
"NORTHERN AMERICA","no2",0.358788171245498,0.242804951377132,NA,NA,-0.391019857308947,0.398618248201232,"us","west virginia"
"NORTHERN AMERICA","no2",0.358788171245498,0.242804951377132,NA,NA,-0.391019857308947,0.398618248201232,"ca","quebec"
"NORTHERN AMERICA","no2",0.358788171245498,0.242804951377132,NA,NA,-0.391019857308947,0.398618248201232,"ca","manitoba"
"NORTHERN AMERICA","no2",0.358788171245498,0.242804951377132,NA,NA,-0.391019857308947,0.398618248201232,"us","us"
"NORTHERN AMERICA","o3",-0.390586254742875,0.0961680767437485,-0.100814958965618,0.803280011371561,-2.20131384449365,0.000189204742675909,"ca","alberta"
"NORTHERN AMERICA","o3",-0.390586254742875,0.0961680767437485,-0.100814958965618,0.803280011371561,-2.20131384449365,0.000189204742675909,"ca","british columbia"
"NORTHERN AMERICA","o3",-0.390586254742875,0.0961680767437485,-0.100814958965618,0.803280011371561,-2.20131384449365,0.000189204742675909,"us","alaska"
"NORTHERN AMERICA","o3",-0.390586254742875,0.0961680767437485,-0.100814958965618,0.803280011371561,-2.20131384449365,0.000189204742675909,"us","arizona"
"NORTHERN AMERICA","o3",-0.390586254742875,0.0961680767437485,-0.100814958965618,0.803280011371561,-2.20131384449365,0.000189204742675909,"us","california"
"NORTHERN AMERICA","o3",-0.390586254742875,0.0961680767437485,-0.100814958965618,0.803280011371561,-2.20131384449365,0.000189204742675909,"us","colorado"
"NORTHERN AMERICA","o3",-0.390586254742875,0.0961680767437485,-0.100814958965618,0.803280011371561,-2.20131384449365,0.000189204742675909,"us","connecticut"
"NORTHERN AMERICA","o3",-0.390586254742875,0.0961680767437485,-0.100814958965618,0.803280011371561,-2.20131384449365,0.000189204742675909,"us","florida"
"NORTHERN AMERICA","o3",-0.390586254742875,0.0961680767437485,-0.100814958965618,0.803280011371561,-2.20131384449365,0.000189204742675909,"us","georgia"
"NORTHERN AMERICA","o3",-0.390586254742875,0.0961680767437485,-0.100814958965618,0.803280011371561,-2.20131384449365,0.000189204742675909,"us","hawaii"
"NORTHERN AMERICA","o3",-0.390586254742875,0.0961680767437485,-0.100814958965618,0.803280011371561,-2.20131384449365,0.000189204742675909,"us","idaho"
"NORTHERN AMERICA","o3",-0.390586254742875,0.0961680767437485,-0.100814958965618,0.803280011371561,-2.20131384449365,0.000189204742675909,"us","illinois"
"NORTHERN AMERICA","o3",-0.390586254742875,0.0961680767437485,-0.100814958965618,0.803280011371561,-2.20131384449365,0.000189204742675909,"us","indiana"
"NORTHERN AMERICA","o3",-0.390586254742875,0.0961680767437485,-0.100814958965618,0.803280011371561,-2.20131384449365,0.000189204742675909,"us","iowa"
"NORTHERN AMERICA","o3",-0.390586254742875,0.0961680767437485,-0.100814958965618,0.803280011371561,-2.20131384449365,0.000189204742675909,"us","kentucky"
"NORTHERN AMERICA","o3",-0.390586254742875,0.0961680767437485,-0.100814958965618,0.803280011371561,-2.20131384449365,0.000189204742675909,"us","maryland"
"NORTHERN AMERICA","o3",-0.390586254742875,0.0961680767437485,-0.100814958965618,0.803280011371561,-2.20131384449365,0.000189204742675909,"us","massachusetts"
"NORTHERN AMERICA","o3",-0.390586254742875,0.0961680767437485,-0.100814958965618,0.803280011371561,-2.20131384449365,0.000189204742675909,"us","michigan"
"NORTHERN AMERICA","o3",-0.390586254742875,0.0961680767437485,-0.100814958965618,0.803280011371561,-2.20131384449365,0.000189204742675909,"us","minnesota"
"NORTHERN AMERICA","o3",-0.390586254742875,0.0961680767437485,-0.100814958965618,0.803280011371561,-2.20131384449365,0.000189204742675909,"us","mississippi"
"NORTHERN AMERICA","o3",-0.390586254742875,0.0961680767437485,-0.100814958965618,0.803280011371561,-2.20131384449365,0.000189204742675909,"us","missouri"
"NORTHERN AMERICA","o3",-0.390586254742875,0.0961680767437485,-0.100814958965618,0.803280011371561,-2.20131384449365,0.000189204742675909,"us","nebraska"
"NORTHERN AMERICA","o3",-0.390586254742875,0.0961680767437485,-0.100814958965618,0.803280011371561,-2.20131384449365,0.000189204742675909,"us","nevada"
"NORTHERN AMERICA","o3",-0.390586254742875,0.0961680767437485,-0.100814958965618,0.803280011371561,-2.20131384449365,0.000189204742675909,"us","new hampshire"
"NORTHERN AMERICA","o3",-0.390586254742875,0.0961680767437485,-0.100814958965618,0.803280011371561,-2.20131384449365,0.000189204742675909,"us","new jersey"
