"","CountryName","CountryCode","Date","C1_School closing","C2_Workplace closing","C3_Cancel public events","C4_Restrictions on gatherings","C5_Close public transport","C6_Stay at home requirements","C7_Restrictions on internal movement","C8_International travel controls","E1_Income support","E2_Debt/contract relief","E3_Fiscal measures","E4_International support","H1_Public information campaigns","H2_Testing policy","H3_Contact tracing","H4_Emergency investment in healthcare","H5_Investment in vaccines","M1_Wildcard","ConfirmedCases","ConfirmedDeaths","StringencyIndex","StringencyIndexForDisplay","LegacyStringencyIndex","LegacyStringencyIndexForDisplay","Region","Population","Area (sq. mi.)","Pop. Density (per sq. mi.)","Coastline (coast/area ratio)","Net migration","Infant mortality (per 1000 births)","GDP ($ per capita)","Literacy (%)","Phones (per 1000)","Arable (%)","Crops (%)","Other (%)","Climate","Birthrate","Deathrate","Agriculture","Industry","Service"
"61","Croatia","HR",2020-01-01,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,0,NA,NA,0,0,NA,0,0,0,0,0,0,"EASTERN EUROPE",4494749,56542,"79,5","10,32","1,58",684,10600,985,"420,4","26,09","2,27",7165,NA,961,1148,"0,07","0,308","0,622"
"62","Hungary","HU",2020-01-01,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0,"EASTERN EUROPE",9981334,93030,"107,3","0,00","0,86",857,13900,994,"336,2","50,09","2,06",4785,3,972,1311,"0,037","0,312","0,651"
"63","Indonesia","ID",2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,"ASIA (EX. NEAR EAST)",245452739,1919440,"127,9","2,85","0",356,3200,879,"52,0","11,32","7,23",8145,2,2034,625,"0,134","0,458","0,408"
"64","India","IN",2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,"ASIA (EX. NEAR EAST)",1095351995,3287590,"333,2","0,21","-0,07",5629,2900,595,"45,4","54,4","2,74",4286,25,2201,818,"0,186","0,276","0,538"
"65","Ireland","IE",2020-01-01,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,"WESTERN EUROPE",4062235,70280,"57,8","2,06","4,99",539,29600,980,"500,5","15,2","0,03",8477,3,1445,782,"0,05","0,46","0,49"
"66","Iran","IR",2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,"ASIA (EX. NEAR EAST)",68688433,1648000,"41,7","0,15","-0,84",4158,7000,794,"276,4","8,72","1,39",8989,1,17,555,"0,116","0,424","0,46"
"67","Iraq","IQ",2020-01-01,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,"NEAR EAST",26783383,437072,"61,3","0,01","0",5025,1500,404,"38,6","13,15","0,78",8607,1,3198,537,"0,073","0,666","0,261"
"68","Iceland","IS",2020-01-01,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,"WESTERN EUROPE",299388,103000,"2,9","4,83","2,38",331,30900,999,"647,7","0,07","0",9993,3,1364,672,"0,086","0,15","0,765"
"69","Israel","IL",2020-01-01,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,"NEAR EAST",6352117,20770,"305,8","1,31","0,68",703,19800,954,"462,3","16,39","4,17",7944,3,1797,618,"0,026","0,317","0,657"
"70","Italy","IT",2020-01-01,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,"WESTERN EUROPE",58133509,301230,"193,0","2,52","2,07",594,26700,986,"430,9","27,79","9,53",6268,NA,872,104,"0,021","0,291","0,688"
